method,scenario,ATE_m,RPE_m,Mean_m,Median_m,Max_m,P95_m
Base PINN+IMU+EKF,Normal GNSS,6.056972503662109,0.23314766585826874,5.001074314117432,6.1132917404174805,9.429487228393555,9.060044288635254
Base PINN+IMU+EKF,20-frame outage,5.99631404876709,0.2515939176082611,4.954267501831055,6.1132917404174805,9.430675506591797,9.06077308654785
Base PINN+IMU+EKF,50-frame outage,5.591571807861328,0.3074581027030945,4.646307468414307,5.8674187660217285,9.354816436767578,8.80997543334961
Base PINN+IMU+EKF,100-frame outage,4.611630916595459,0.3165152072906494,3.8475465774536133,3.9866366386413574,7.723186492919922,7.526051425933837
Base PINN+IMU+EKF,Full GNSS-denied,10.807887077331543,0.16106952726840973,9.1317138671875,8.836203575134277,17.04245376586914,16.782951736450194
LiDAR cue,Normal GNSS,5.417563438415527,0.41688811779022217,4.432920455932617,4.967306613922119,9.04301643371582,8.351123619079589
LiDAR cue,50-frame outage,4.454901218414307,0.7697018384933472,3.4585161209106445,3.1155853271484375,8.86552619934082,8.072034072875976
LiDAR cue,100-frame outage,4.329241752624512,1.058866024017334,3.3166983127593994,2.8803322315216064,10.46418571472168,8.616430473327636
LiDAR cue,Full GNSS-denied,16.981462478637695,0.20422740280628204,13.196508407592773,12.154027938842773,28.220502853393555,28.002123260498045
Visual cue,Normal GNSS,5.293094158172607,0.4404452443122864,4.360601425170898,4.86498498916626,8.880517959594727,8.130511283874512
Visual cue,50-frame outage,4.421578407287598,0.8473273515701294,3.5025582313537598,3.329195261001587,8.778553009033203,7.7355883598327635
Visual cue,100-frame outage,5.231190204620361,1.2516834735870361,3.883807897567749,3.329195261001587,13.84080982208252,11.251581192016602
Visual cue,Full GNSS-denied,18.705326080322266,0.189728245139122,14.343374252319336,13.534919738769531,30.58456802368164,30.462680053710937
