drive,split,valid_pairs,stationary,very_low,low,medium,high,mean_step_m,folder
2011_09_26_drive_0018_sync,diagnostic_0018,269,181,13,18,56,1,0.191407336902058,2011_09_26_drive_0018_sync
2011_09_26_drive_0019_sync,final_test,480,42,42,85,122,189,0.84511804672505,2011_09_26_drive_0019_sync
2011_09_26_drive_0046_sync,final_test,124,0,20,73,31,0,0.38317085578692,2011_09_26_drive_0046_sync
2011_09_30_drive_0033_sync,final_test,1593,0,0,21,630,942,1.07058250227613,2011_09_30_drive_0033_sync
2011_09_26_drive_0009_sync,train,441,43,34,45,145,174,0.749430864219255,2011_09_26_drive_0009_sync
2011_09_26_drive_0011_sync,train,232,71,42,21,32,66,0.490865758947561,2011_09_26_drive_0011_sync
2011_09_26_drive_0013_sync,train,143,0,0,0,0,143,1.20977281141121,2011_09_26_drive_0013_sync
2011_09_26_drive_0014_sync,train,313,0,0,0,56,257,1.28588350592714,2011_09_26_drive_0014_sync
2011_09_26_drive_0017_sync,train,113,113,0,0,0,0,0.00110246216582592,2011_09_26_drive_0017_sync
2011_09_26_drive_0020_sync,train,85,0,47,38,0,0,0.198842997309277,2011_09_26_drive_0020_sync
2011_09_26_drive_0023_sync,train,473,0,0,14,378,81,0.87575463253689,2011_09_26_drive_0023_sync
2011_09_26_drive_0035_sync,train,130,0,21,50,59,0,0.460115702752541,2011_09_26_drive_0035_sync
2011_09_26_drive_0036_sync,train,802,0,52,56,376,318,0.891552784920843,2011_09_26_drive_0036_sync
2011_09_26_drive_0039_sync,train,394,0,0,33,356,5,0.756107060702755,2011_09_26_drive_0039_sync
2011_09_26_drive_0061_sync,train,702,0,15,62,622,3,0.699645346153977,2011_09_26_drive_0061_sync
2011_09_26_drive_0064_sync,train,569,0,0,76,466,27,0.768023222854496,2011_09_26_drive_0064_sync
2011_09_26_drive_0086_sync,train,705,14,105,421,165,0,0.380494387860556,2011_09_26_drive_0086_sync
2011_09_30_drive_0028_sync,train,5176,21,118,747,2961,1329,0.797868763732728,2011_09_30_drive_0028_sync
2011_10_03_drive_0027_sync,train,4543,12,35,615,2653,1228,0.819412396889146,2011_10_03_drive_0027_sync
2011_10_03_drive_0034_sync,train,4662,0,0,73,1401,3188,1.08567482741225,2011_10_03_drive_0034_sync
2011_09_26_drive_0022_sync,validation,799,0,26,189,576,8,0.644307164811946,2011_09_26_drive_0022_sync
2011_09_26_drive_0079_sync,validation,99,11,28,46,14,0,0.26455896269913,2011_09_26_drive_0079_sync
2011_09_30_drive_0034_sync,validation,1223,24,114,115,760,210,0.75207538494693,2011_09_30_drive_0034_sync
